HSPA6
CCL5
PRPF8
CAPNS1
RPL35
EIF4G2
EIF3D
PARK7
SRP14
GDI2
RPL11
RPL24
RPS27A
FAU
CFL1
RPL18
EIF3F
RPS5
RPL27
RPL34
NARS
STARD7
RPL19
SLC25A3
RPL9
RPL6
CTDNEP1
RPL10A
CBX3
PSMB2
RTCB
ERH
ABCF1
DAD1
KAT7
ZNF146
SART1
ILF2
SPAG7
ZPR1
TAF10
C1D
RHOA
RNPS1
RPS24
RPL30
IK
SMNDC1
GUK1
KXD1
ATP6V0B
RPS6
RPS7
USP22
C11orf58
TCEB2
RPS25
RPL37
HINT1
EEF2
HNRNPK
HNRNPU
EIF3A
MSN
ACTN4
PRKAR1A
DSP
RAD21
NCL
AP2B1
AP2M1
CLTC
MLEC
LASP1
SF3B2
TMEM59
CSRP1
PTGES3
WARS
NDRG1
UBB
PFN1
PTPRF
YWHAZ
SOD1
HDLBP
MARCKSL1
GABARAP
NUCB1
LDHA
SSR2
P4HB
SLC25A5
PHB
S100A11
CTSA
TOMM20
CD63
DNAJB1
SPARC
UBE2D3
XBP1
SPTBN1
LAPTM4A
RPL32
CD81
UBE2L3
PTTG1IP
HMGB1
GLO1
SF3B3
HSPA9
YWHAQ
PPP2R1A
HK1
KDELR2
NPC2
DDX24
DYNLL1
LITAF
PRKCSH
GOT2
ACADVL
MAPRE1
SKP1
ACTR1A
CAPRIN1
PPP1CC
ACTR2
PTP4A1
GPX1
PGK1
SUMO3
RPS27
GNB1
RAN
HNRNPC
CAPN1
NFE2L1
ARL6IP5
DPYSL2
RPLP1
CTNNA1
CTSD
FAM120A
MAT2A
LAMC1
BZW1
SEPT2
ATF4
RPS15A
ANXA5
STMN1
LRP1
PSMB7
PEA15
ECH1
ODC1
XRCC6
ACO2
SPARCL1
MCL1
SARS
TMBIM6
LMAN2
HSPD1
RPL12
CIRBP
CCT7
PSME1
RPS10
ATP5O
RPS15
PSMD8
RPL29
GSTP1
HYOU1
SNRPD2
PLOD1
ZNF207
PSMD2
SCD
RAP1B
RPS21
BCAP31
KARS
EPRS
PRDX6
PPP1CA
SARAF
AHCYL1
IST1
GNB2
NCOR1
CNOT1
DHCR24
RAB11A
PSAP
RNF114
STRAP
S100A10
CCT8
PSMB1
CCT4
EPAS1
DNAJA1
PSMD4
UQCRC2
CKB
RHOC
PGAM1
SSR1
FKBP4
HDGF
PALLD
M6PR
SEP15
AHCY
HLA-E
RPLP2
PPM1G
SRPR
PHC2
BTG1
KDELR1
LGALS3BP
SLC3A2
COX6A1
RPS23
VCL
DCTN2
RPS4X
DEK
CALR
RPL8
HSBP1
HMGN1
SEC31A
GLUD1
MLF2
ARPC1A
CCND2
ATP6V0C
IMMT
SSRP1
SDCBP
SEPHS2
RPL31
UBA1
ALDOA
PPIB
SERP1
TSPAN3
ACTA2
PPT1
TAX1BP1
MDH1
PDHA1
ANXA6
CD59
