1	2347
1	2834
1	5055
1	6220
1	7728
1	11946
2	507
2	528
2	628
2	999
2	1098
2	1143
2	1172
2	1229
2	1845
2	2023
2	2206
2	2776
2	2851
2	2960
2	3361
2	4423
2	4915
2	4929
2	5333
2	5359
2	5707
2	6787
2	7058
2	7889
2	10815
2	12389
3	5055
3	5333
3	7728
4	2422
4	2423
4	2834
4	3402
4	4915
4	5881
4	7728
4	11862
5	999
5	1038
5	1091
5	2513
5	4915
5	5055
5	5606
5	7343
5	7728
5	7956
6	507
6	2023
6	2071
6	2753
6	3567
6	3907
6	6262
6	6507
6	7728
6	8050
6	8957
6	9308
6	11484
6	12335
6	12581
6	12689
7	262
7	2206
7	5606
7	5881
7	7048
7	7343
7	7728
7	12581
8	628
8	667
8	999
8	5881
8	7725
8	7728
8	12581
9	5881
9	6262
9	7728
9	12581
10	999
10	1038
10	2071
10	2604
10	2851
10	4915
10	5606
10	5881
10	6020
10	6262
10	7677
10	7728
10	7889
10	7956
10	11484
11	999
11	1038
11	1760
11	4915
11	5606
11	5881
11	6007
11	6229
11	7343
11	7728
11	12581
12	507
12	1020
12	5055
12	7343
12	7728
12	12581
13	999
13	1020
13	1038
13	1095
13	1413
13	3052
13	3087
13	4915
13	6221
13	6832
13	7343
13	7728
14	999
14	2046
14	4915
14	4978
14	5312
14	5606
14	7048
14	7343
14	7728
14	8948
14	12335
15	1020
15	1038
15	1265
15	1760
15	1811
15	1978
15	2071
15	2423
15	2604
15	2834
15	3122
15	4086
15	4203
15	5312
15	5881
15	6262
15	6738
15	7728
15	7889
15	8687
15	9393
15	11484
15	11946
15	12122
15	12581
16	628
16	1038
16	2071
16	7343
16	7889
17	342
17	999
17	1038
17	2071
17	3566
17	4915
17	5055
17	6262
17	7396
17	7728
17	12581
18	1038
18	1091
18	5606
18	5881
18	7728
19	1038
19	1760
19	2851
19	4978
19	5055
19	5881
19	7343
19	7728
19	12581
20	1038
20	4002
20	4915
20	5492
20	7343
20	7728
20	7956
20	12581
21	5881
21	7728
22	546
22	1038
22	1091
22	2071
22	5881
22	5961
22	6262
22	6507
22	6922
22	7343
22	7728
22	7889
22	9308
23	999
23	1038
23	1370
23	2347
23	4915
23	7728
24	150
24	1038
24	1172
24	1265
24	2071
24	2206
24	2643
24	3827
24	4011
24	5881
24	7048
24	7343
24	7728
24	8948
24	9393
24	11862
24	12389
25	628
25	1002
25	1038
25	7728
26	2513
26	2851
26	4423
26	5606
26	5881
26	6007
26	7343
26	7728
26	12581
27	628
27	1811
27	1978
27	2023
27	2604
27	2851
27	4034
27	4086
27	5881
27	12122
27	12581
27	12595
28	2513
28	2604
28	5055
28	5606
28	6007
28	7728
29	263
29	628
29	1002
29	1020
29	1038
29	1265
29	1811
29	1978
29	2604
29	2810
29	3416
29	4086
29	4915
29	5007
29	5944
29	6007
29	6220
29	7109
29	7234
29	7889
29	9393
29	11946
29	12122
29	12581
29	12595
30	3907
30	4915
30	5606
30	6007
30	6262
30	7728
30	11946
32	1503
32	1811
32	1978
32	2347
32	2604
32	2665
32	4086
32	5881
32	6320
32	6444
32	7728
32	10328
32	12122
32	12581
33	351
33	999
33	1038
33	4915
33	5606
33	5881
33	6262
33	6444
33	7728
33	11946
34	999
34	1091
34	3907
34	4120
34	5015
34	5055
34	6020
34	6037
34	6498
34	7728
34	11946
35	150
35	507
35	511
35	628
35	855
35	1172
35	1229
35	1760
35	1845
35	2023
35	2206
35	2423
35	2643
35	2810
35	2834
35	2875
35	3416
35	3826
35	3827
35	4978
35	5055
35	5333
35	5881
35	6262
35	7048
35	7728
35	7889
35	8948
35	10711
35	11484
35	11946
35	12389
35	12581
35	12621
